date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:46	17623/17623	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:45%20GMT	https://www.masmn.org/about/	C:/My%20Web%20Sites/masmn/www.masmn.org/about/index.html	(from https://www.masmn.org/)
22:36:46	97424/97424	---M--	200	added ('OK')	image/jpeg	etag:%2217c90-5470c0e62a3b8%22	https://www.masmn.org/wp-content/uploads/img3.jpg	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-content/uploads/img3.jpg	(from https://www.masmn.org/)
22:36:46	17784/17784	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:46%20GMT	https://www.masmn.org/mas-youth/	C:/My%20Web%20Sites/masmn/www.masmn.org/mas-youth/index.html	(from https://www.masmn.org/)
22:36:46	42543/42543	---M--	200	added ('OK')	image/jpeg	etag:%22a62f-55554bda0e085%22	https://www.masmn.org/wp-content/uploads/file-page1-e1501197330280.jpg	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-content/uploads/file-page1-e1501197330280.jpg	(from https://www.masmn.org/)
22:36:46	16426/16426	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:46%20GMT	https://www.masmn.org/pace/	C:/My%20Web%20Sites/masmn/www.masmn.org/pace/index.html	(from https://www.masmn.org/)
22:36:46	22015/22015	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:46%20GMT	https://www.masmn.org/tarbiya/	C:/My%20Web%20Sites/masmn/www.masmn.org/tarbiya/index.html	(from https://www.masmn.org/)
22:36:47	17594/17594	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:46%20GMT	https://www.masmn.org/mas-give/	C:/My%20Web%20Sites/masmn/www.masmn.org/mas-give/index.html	(from https://www.masmn.org/)
22:36:47	54689/54689	---M--	200	added ('OK')	image/jpeg	etag:%22d5a1-552b8e7ed2bbf%22	https://www.masmn.org/wp-content/uploads/Eid-Ul-Fitr.jpg	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-content/uploads/Eid-Ul-Fitr.jpg	(from https://www.masmn.org/)
22:36:47	16562/16562	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:47%20GMT	https://www.masmn.org/sunday-school/	C:/My%20Web%20Sites/masmn/www.masmn.org/sunday-school/index.html	(from https://www.masmn.org/)
22:36:47	31682/31682	---M--	200	added ('OK')	image/jpeg	etag:%227bc2-5501ecdc75bb5%22	https://www.masmn.org/wp-content/uploads/Ramadan.jpg	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-content/uploads/Ramadan.jpg	(from https://www.masmn.org/)
22:36:47	74037/74037	---M--	200	added ('OK')	image/jpeg	etag:%2212135-5501efe1e033b%22	https://www.masmn.org/wp-content/uploads/Ramadan_Reflections_2016.jpg	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-content/uploads/Ramadan_Reflections_2016.jpg	(from https://www.masmn.org/)
22:36:47	15770/15770	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:47%20GMT	https://www.masmn.org/lectures-public-events/	C:/My%20Web%20Sites/masmn/www.masmn.org/lectures-public-events/index.html	(from https://www.masmn.org/)
22:36:48	2883/2883	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jun%202016%2014:01:01%20GMT	https://static.ctctcdn.com/h/contacts-embedded-signup-assets/1.0.2/css/signup-form.css	C:/My%20Web%20Sites/masmn/static.ctctcdn.com/h/contacts-embedded-signup-assets/1.0.2/css/signup-form.css	(from https://www.masmn.org/)
22:36:48	18043/18043	---M-Z	200	added ('OK')	application/x-javascript	etag:%229c7a4-424f-5195a4097e240%22	https://static.ctctcdn.com/h/contacts-embedded-signup-assets/1.0.2/js/signup-form.js	C:/My%20Web%20Sites/masmn/static.ctctcdn.com/h/contacts-embedded-signup-assets/1.0.2/js/signup-form.js	(from https://www.masmn.org/)
22:36:48	16655/16655	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:48%20GMT	https://www.masmn.org/smic/	C:/My%20Web%20Sites/masmn/www.masmn.org/smic/index.html	(from https://www.masmn.org/)
22:36:48	16553/16553	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:48%20GMT	https://www.masmn.org/masjid-taqwa/	C:/My%20Web%20Sites/masmn/www.masmn.org/masjid-taqwa/index.html	(from https://www.masmn.org/)
22:36:48	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/masmn/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.masmn.org/)
22:36:49	16992/16992	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:48%20GMT	https://www.masmn.org/bcc/	C:/My%20Web%20Sites/masmn/www.masmn.org/bcc/index.html	(from https://www.masmn.org/)
22:36:49	22627/22627	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:48%20GMT	https://www.masmn.org/muslim-registry/	C:/My%20Web%20Sites/masmn/www.masmn.org/muslim-registry/index.html	(from https://www.masmn.org/)
22:36:50	15325/15325	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:49%20GMT	https://www.masmn.org/contact-us/	C:/My%20Web%20Sites/masmn/www.masmn.org/contact-us/index.html	(from https://www.masmn.org/)
22:36:50	15639/15639	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:49%20GMT	https://www.masmn.org/events/	C:/My%20Web%20Sites/masmn/www.masmn.org/events/index.html	(from https://www.masmn.org/)
22:36:50	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/masmn/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://www.masmn.org/)
22:36:50	24046/24046	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:49%20GMT	https://www.masmn.org/category/news/	C:/My%20Web%20Sites/masmn/www.masmn.org/category/news/index.html	(from https://www.masmn.org/)
22:36:50	15356/15356	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:50%20GMT	https://www.masmn.org/fundraiser-request/	C:/My%20Web%20Sites/masmn/www.masmn.org/fundraiser-request/index.html	(from https://www.masmn.org/)
22:36:51	16460/16460	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:50%20GMT	https://www.masmn.org/membership-form/	C:/My%20Web%20Sites/masmn/www.masmn.org/membership-form/index.html	(from https://www.masmn.org/)
22:36:51	17925/17925	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:51%20GMT	https://www.masmn.org/happy-eid-from-mas-mn/	C:/My%20Web%20Sites/masmn/www.masmn.org/happy-eid-from-mas-mn/index.html	(from https://www.masmn.org/)
22:36:51	5199/5199	---M--	200	added ('OK')	image/gif	etag:%22144f-5488605b867f8%22	https://www.masmn.org/wp-content/plugins/godaddy-email-marketing-sign-up-forms/images/spinner.gif	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-content/plugins/godaddy-email-marketing-sign-up-forms/images/spinner.gif	(from https://www.masmn.org/wp-content/plugins/godaddy-email-marketing-sign-up-forms/css/gem.min.css?ver=1.2.0)
22:36:51	15321/15321	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:51%20GMT	https://www.masmn.org/volunteer/	C:/My%20Web%20Sites/masmn/www.masmn.org/volunteer/index.html	(from https://www.masmn.org/)
22:36:52	17993/17993	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:51%20GMT	https://www.masmn.org/eid_on_sunday_june_25_2017/	C:/My%20Web%20Sites/masmn/www.masmn.org/eid_on_sunday_june_25_2017/index.html	(from https://www.masmn.org/)
22:36:52	9573/9573	---M--	200	added ('OK')	image/gif	etag:%222565-5488605b87e25%22	https://www.masmn.org/wp-content/plugins/godaddy-email-marketing-sign-up-forms/images/spinner-2x.gif	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-content/plugins/godaddy-email-marketing-sign-up-forms/images/spinner-2x.gif	(from https://www.masmn.org/wp-content/plugins/godaddy-email-marketing-sign-up-forms/css/gem.min.css?ver=1.2.0)
22:36:52	16705/16705	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:51%20GMT	https://www.masmn.org/mas-mn-family-camp-2017/	C:/My%20Web%20Sites/masmn/www.masmn.org/mas-mn-family-camp-2017/index.html	(from https://www.masmn.org/)
22:36:52	17610/17610	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:52%20GMT	https://www.masmn.org/ramadan2017/	C:/My%20Web%20Sites/masmn/www.masmn.org/ramadan2017/index.html	(from https://www.masmn.org/)
22:36:52	16804/16804	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202017%2003:36:52%20GMT	https://www.masmn.org/ramadanreflections/	C:/My%20Web%20Sites/masmn/www.masmn.org/ramadanreflections/index.html	(from https://www.masmn.org/)
22:36:53	2183/2183	---M--	200	added ('OK')	application/json	date:Sat,%2009%20Sep%202017%2003:36:52%20GMT	https://www.masmn.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.masmn.org%2Fabout%2F	C:/My%20Web%20Sites/masmn/www.masmn.org/wp-json/oembed/1.0/embedafae.json	(from https://www.masmn.org/about/)
22:36:53	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202017%2003:36:52%20GMT	https://www.masmn.org/?p=290	C:/My%20Web%20Sites/masmn/www.masmn.org/index5b31.html	(from https://www.masmn.org/about/)
